<START> 随时 <UNK> <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> 随时 <UNK> <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> 行驶 没有 <UNK> 感觉 ， 原地 换挡 <UNK> ， 刹车 踩 重 没有 ， <UNK> <UNK> <UNK> ， 应该 没有 问题 <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> <UNK> 车辆 ， <UNK> 前轮 <UNK> 上 <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> <UNK> 用车 <UNK> ， <UNK> 价格 还 。 车况 好 ， <UNK> <UNK> <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> 这种 情况 ， 机油 不 缺少 ， 应该 变速器 <UNK> 油封 漏油 情况 ， 需要 <UNK> 检查一下 ， 两个 油封 最好 都 检查一下 ， 出现 问题 直接 更换 。 <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> 你好 ！ 车子 <UNK> 后 ， 重新 车 启动 会 车子 怠速 <UNK> 不 <UNK> 抖动 需要 重新 清洗 干净 节气门 后 匹配 节气门 ， 防盗 ， 车子 正常 <UNK> 正常 ， 音响 <UNK> 正常 开机 启动 不 需要 <UNK> ， 不能 正常 开机 需要 <UNK> 密码 <STOP>
<START> 面板 内部 <UNK> <UNK> ， 没有 <UNK> 螺丝 <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> 单独 购买 轮胎 ， <UNK> 型号 比较 大 <UNK> 轮胎 地方 ， 去 修理厂 费用 350 左右 ， <UNK> ， 更换 比较 便宜 一点 。 <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> 螺丝 轮胎 螺丝 ， <UNK> <UNK> <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> <UNK> <UNK> 马达 ， 必须 <UNK> ， <UNK> <UNK> <UNK> ， <UNK> 防盗 主机 ， 中控 主机 ， <UNK> <UNK> 以后 ， <UNK> 触发 控制 。 <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> 现在 公里 <UNK> ， 最好 检查一下 皮带 ， 应该 <UNK> 现象 ， 皮带 。 <UNK> <UNK> 10 万公里 。 建议 最好 更换 一下 。 <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> <UNK> <UNK> 开关 价格 <UNK> 左右 ， <UNK> <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> 踩 离合器 出现 离合器 <UNK> ， <UNK> ， 都 分离 轴承 问题 ， 需要 检查 抖动 ， 轮胎 ， <UNK> 。 半轴 很大 关系 ， 需要 做 <UNK> <UNK> 。 <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> <UNK> 只能 去 <UNK> <UNK> ， 提供 <UNK> 厂家 <UNK> <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> <UNK> <UNK> <UNK> 模式 ， 开启 功能 比较 <UNK> 。 车型 单独 <UNK> 开关 ， <UNK> 车型 没有 开关 。 建议 <UNK> 做 积炭 清洗 换 汽油 滤芯 <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> 你好 ！ 车子 故障 现象 需要 检查 下 节气门 <UNK> 是否 <UNK> ， <UNK> ， 清洗 干净 节气门 <UNK> 后 匹配 节气门 ， 希望 帮到 ！ <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> <UNK> <UNK> ， <UNK> <UNK> ， 电机 控制 ， <UNK> 不 能够 <UNK> 。 这种 情况 ， 检查一下 <UNK> <UNK> <UNK> 是不是 <UNK> ， <UNK> <UNK> <UNK> <UNK> <UNK> ， <UNK> 不会 <UNK> <UNK> <UNK> <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> 你好 ！ 车子 安装 GPS <UNK> 定位 功能 咨询 下 4S店 <UNK> <UNK> 车子 位置 ， 参考 下 ， 希望 帮到 ！ <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> <UNK> <UNK> 价格 <UNK> 0 左右 ， <UNK> <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> 机油 <UNK> 目前 使用 <UNK> 比较 <UNK> ， <UNK> ， <UNK> ， 车 来说 完全 正常 使用 。 <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> 没有 ， 直接 去 <UNK> 安装 价格 60 80 . <UNK> <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> 车辆 <UNK> <UNK> ， 使用 <UNK> 中 会 出现 正常 磨损 ， 会 造成 气门 间隙 <UNK> ， 机油 质量 不好 ， 会 出现 问题 ， 现在 车辆 <UNK> <UNK> <UNK> ， <UNK> <UNK> 维修 。 <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> 噪音 大 ， 行驶 起来 出现 问题 ， 先 检查 轮胎 轴承 是不是 出现 <UNK> ， 轴承 没 问题 ， 轮胎 发出 声音 。 清洗 积炭 主要 清洗 节气门 <UNK> ， <UNK> 系统 ， 发动机 <UNK> ， ， <UNK> 系统 <UNK> ， 都 <UNK> <UNK> ， <UNK> <STOP>
<START> 现在 检查 这种 情况 ， <UNK> <UNK> ， <UNK> <UNK> <UNK> 都 没有 <UNK> 地方 ， 转向 出现 <UNK> ， 可能 减震器 顶胶 压力 轴承 出现 问题 ， 先 检查一下 有没有 间隙 ， 转向 减震器 <UNK> ， 检查一下 会 不会 出现 响声 ， <UNK> <UNK> 大概 <UNK> <STOP>
<START> 你好 ！ 修理厂 <UNK> <UNK> 喷漆 需要 300 元 左右 价格 ， 参考 下 ， 希望 帮到 ！ <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> 这种 情况 先 后面 轮胎 更换 处理 一下 ， 轮胎 <UNK> 不 ， 肯定 会 出现 这种 情况 ， 减震器 损坏 必须 更换 ， 处理 以后 ， 才能 检查 地方 有没有 问题 。 <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> 你好 ！ 车子 还 质保 <UNK> ， 去 4S店 检测 <UNK> 质量 故障 免费 维修 ， 希望 帮到 ！ <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> 开启 空调 状态 下 <UNK> <UNK> <UNK> 状态 下 这是 正常 <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> 车辆 延保 ， 现在 很多 人 车辆 比较 <UNK> ， ， <UNK> ， <UNK> <UNK> ， <UNK> 维修 ， 费用 比较 高 。 延保 很大 <UNK> <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> <UNK> 没有 <UNK> <UNK> 使用 汽油 <UNK> 已经 <UNK> 只能 重新 喷漆 <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> <UNK> 做 <UNK> 打蜡 能够 <UNK> 很 好 <UNK> <UNK> <UNK> <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> 建议 检查 确认 发动机 皮带 <UNK> <UNK> ， 确认 更换 <UNK> 。 <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
<START> 买 <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> 买 <UNK> <UNK> 东西 <UNK> <UNK> <UNK> 空气 <STOP> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>
